Country,ISO,Unconditional,Conditional,2020,Unconditional_b20,Conditional_b20
Pakistan,PAK,1384.8,823.7,480.8977047,1.879614492782585,0.7128382854600055
Panama,PAN,22.0,20.8,21.74072293,0.01192587159290004,-0.043270085039439854
Peru,PER,208.8,179.0,181.4666998,0.15062433069056147,-0.013593126467382755
Philippines,PHL,327.2,85.7,229.0198539,0.4286970951560807,-0.6257966349178603
Palau,PLW,0.3,0.1,0.24774848,0.210905511912727,-0.5963648293624243
Papua New Guinea,PNG,55.2,3.8,54.03759239,0.021511091789779835,-0.9296785842608485
North Korea,PRK,182.2,103.4,95.52404868,0.9073730910459978,0.08244993202061579
Paraguay,PRY,92.3,82.0,97.81877158,-0.056418328413442964,-0.16171509133155282
Palestine,PSE,22.5,11.5,,,
Qatar,QAT,98.6,74.4,114.8482029,-0.1414754649156117,-0.3521883832628956
Russia,RUS,2170.0,2170.0,1695.742296,0.2796755763648182,0.2796755763648182
Rwanda,RWA,11.5,8.8,9.071642574,0.2676866296474083,-0.02994414426980918
Saudi Arabia,SAU,674.9,674.9,708.751599,-0.04776228942236227,-0.04776228942236227
Sudan,SDN,159.6,132.5,128.8513971,0.2386361622151163,0.02831636274124638
Senegal,SEN,37.3,28.8,35.44203058,0.052422770072560354,-0.18740547511823746
Singapore,SGP,60.0,60.0,64.24982753,-0.06614535312200864,-0.06614535312200864
Solomon Islands,SLB,1.1,0.7,46.32406436,-0.9762542424720869,-0.9848890633913281
Sierra Leone,SLE,9.6,8.6,9.3867646,0.022716602480901793,-0.0838163769441922
El Salvador,SLV,12.0,11.8,12.40050621,-0.032297569407047644,-0.04842594325026339
San Marino,SMR,0.2,0.2,,,
Somalia,SOM,107.9,75.6,43.44521515,1.4835876546464748,0.7401225828662974
Republic of Serbia,SRB,55.3,55.3,63.01844641,-0.12247916046332763,-0.12247916046332763
South Sudan,SSD,60.0,60.0,70.78708584,-0.152387765536528,-0.152387765536528
Sao Tome and Principe,STP,0.4,0.3,0.39759095,0.006059116788246888,-0.2454556624088149
Suriname,SUR,9.4,9.4,13.56106957,-0.3068393350923574,-0.3068393350923574
Eswatini,SWZ,7.5,6.8,2.970719679,1.5246407639931348,1.289007626020442
Seychelles,SYC,1.1,0.8,0.768769338,0.4308583155276675,0.04062422947466726
Syria,SYR,86.2,86.2,58.35614013,0.4771367641515052,0.4771367641515052
Chad,TCD,85.7,69.8,111.714265,-0.23286430788404677,-0.37519170000357605
Togo,TGO,24.2,15.0,10.02266017,1.4145286370614318,0.4966086593355983
Thailand,THA,404.4,348.9,455.2539484,-0.11170457407064205,-0.23361455463216374
Tajikistan,TJK,23.6,20.0,17.84580505,0.32243963967319056,0.12071155904507669
Turkmenistan,TKM,154.4,154.4,192.5080614,-0.19795566545557663,-0.19795566545557663
Timor-Leste,TLS,6.3,6.3,6.169352406,0.02117687326030171,0.02117687326030171
Tonga,TON,0.3,0.3,0.339809802,-0.11715318912430905,-0.11715318912430905
Trinidad and Tobago,TTO,23.6,21.9,25.41518953,-0.07142144377311666,-0.13831057706064653
Tunisia,TUN,41.1,31.0,38.28361377,0.07356636306384923,-0.19025408138736433
Türkiye,TUR,1175.0,695.0,475.9267231,1.4688674599873504,0.46030883803507106
Tuvalu,TUV,0.0,0.0,0.024402589,-1.0,-1.0
United Republic of Tanzania,TZA,220.8,146.9,171.4148957,0.28810275850490186,-0.14301496728093266
Uganda,UGA,140.1,112.1,59.48465236,1.355229364914456,0.8845197131114242
Ukraine,UKR,206.9,309.0,240.014955,-0.1379703818872452,0.28741977765510485
Uruguay,URY,41.9,38.7,34.29519511,0.22174549133218213,0.12843795977459305
United States of America,USA,3251.2,3251.2,5229.09088,-0.37824756260499337,-0.37824756260499337
Uzbekistan,UZB,184.2,353.8,181.1901577,0.016611511012554203,0.9526446937906718
Holy See (Vatican City State),VAT,0.0,0.0,,,
Saint Vincent and the Grenadines,VCT,0.7,0.7,0.330692756,1.1167684725455551,1.1167684725455551
Venezuela,VEN,378.7,310.7,237.0414669,0.5976107680761236,0.3107411292348867
Vietnam,VNM,781.6,524.2,463.7133541,0.6855240270510898,0.13043973257443886
Vanuatu,VUT,0.7,0.7,0.676181249,0.03522539413097503,0.03522539413097503
Samoa,WSM,0.7,0.3,0.642545695,0.08941668343136278,-0.5331071356722732
Yemen,YEM,55.4,55.4,28.85994966,0.9196152679637071,0.9196152679637071
South Africa,ZAF,430.7,385.0,552.0482798,-0.21981461448256479,-0.3025972291056128
Zambia,ZMB,72.5,51.0,96.54026288,-0.24901799687330617,-0.4717230046970844
Zimbabwe,ZWE,75.4,44.7,113.3137216,-0.3345907368026997,-0.6055199726138021
