Country,ISO,Unconditional,Conditional,2020,Unconditional_b20,Conditional_b20
Niger,NER,112.5,97.5,47.78471248,1.354309447,1.04040152
Nigeria,NGA,398.7,276.4,356.7815537,0.117490509,-0.225296271
Nicaragua,NIC,84.8,83.2,38.96435467,1.176348119,1.135284947
Niue,NIU,0,0,0.0055035,-1,-1
Norway,NOR,13.1,13.1,31.79535484,-0.58799013,-0.58799013
Nepal,NPL,54.7,54.7,55.21071076,-0.009250212,-0.009250212
Nauru,NRU,0.1,0.1,0.059518063,0.680162206,0.680162206
New Zealand,NZL,43,43,70.24245106,-0.387834574,-0.387834574
Oman,OMN,102.7,87.8,93.92124157,0.093469361,-0.065174198
Pakistan,PAK,1384.8,823.7,480.8977047,1.879614493,0.712838285
Panama,PAN,22,20.8,21.74072293,0.011925872,-0.043270085
Peru,PER,208.8,179,181.4666998,0.150624331,-0.013593126
Philippines,PHL,327.2,85.7,229.0198539,0.428697095,-0.625796635
Palau,PLW,0.3,0.1,0.24774848,0.210905512,-0.596364829
Papua New Guinea,PNG,55.2,3.8,54.03759239,0.021511092,-0.929678584
North Korea,PRK,182.2,103.4,95.52404868,0.907373091,0.082449932
Paraguay,PRY,92.3,82,97.81877158,-0.056418328,-0.161715091
Palestine,PSE,22.5,11.5,,,
Qatar,QAT,98.6,74.4,114.8482029,-0.141475465,-0.352188383
Russia,RUS,2170,2170,1695.742296,0.279675576,0.279675576
Rwanda,RWA,11.5,8.8,9.071642574,0.26768663,-0.029944144
Saudi Arabia,SAU,674.9,674.9,708.751599,-0.047762289,-0.047762289
Sudan,SDN,159.6,132.5,128.8513971,0.238636162,0.028316363
Senegal,SEN,37.3,28.8,35.44203058,0.05242277,-0.187405475
Singapore,SGP,60,60,64.24982753,-0.066145353,-0.066145353
Solomon Islands,SLB,1.1,0.7,46.32406436,-0.976254242,-0.984889063
Sierra Leone,SLE,9.6,8.6,9.3867646,0.022716602,-0.083816377
El Salvador,SLV,12,11.8,12.40050621,-0.032297569,-0.048425943
San Marino,SMR,0.2,0.2,,,
Somalia,SOM,107.9,75.6,43.44521515,1.483587655,0.740122583
Republic of Serbia,SRB,55.3,55.3,63.01844641,-0.12247916,-0.12247916
South Sudan,SSD,60,60,70.78708584,-0.152387766,-0.152387766
Sao Tome and Principe,STP,0.4,0.3,0.39759095,0.006059117,-0.245455662
Suriname,SUR,9.4,9.4,13.56106957,-0.306839335,-0.306839335
Eswatini,SWZ,7.5,6.8,2.970719679,1.524640764,1.289007626
Seychelles,SYC,1.1,0.8,0.768769338,0.430858316,0.040624229
Syria,SYR,86.2,86.2,58.35614013,0.477136764,0.477136764
Chad,TCD,85.7,69.8,111.714265,-0.232864308,-0.3751917
Togo,TGO,24.2,15,10.02266017,1.414528637,0.496608659
Thailand,THA,404.4,348.9,455.2539484,-0.111704574,-0.233614555
Tajikistan,TJK,23.6,20,17.84580505,0.32243964,0.120711559
Turkmenistan,TKM,154.4,154.4,192.5080614,-0.197955665,-0.197955665
Timor-Leste,TLS,6.3,6.3,6.169352406,0.021176873,0.021176873
Tonga,TON,0.3,0.3,0.339809802,-0.117153189,-0.117153189
Trinidad and Tobago,TTO,23.6,21.9,25.41518953,-0.071421444,-0.138310577
Tunisia,TUN,41.1,31,38.28361377,0.073566363,-0.190254081
Türkiye,TUR,1175,695,475.9267231,1.46886746,0.460308838
Tuvalu,TUV,0,0,0.024402589,-1,-1
United Republic of Tanzania,TZA,220.8,146.9,171.4148957,0.288102759,-0.143014967
Uganda,UGA,140.1,112.1,59.48465236,1.355229365,0.884519713
Ukraine,UKR,206.9,309,240.014955,-0.137970382,0.287419778
Uruguay,URY,41.9,38.7,34.29519511,0.221745491,0.12843796
United States of America,USA,3251.2,3251.2,5229.09088,-0.378247563,-0.378247563
Uzbekistan,UZB,184.2,353.8,181.1901577,0.016611511,0.952644694
Holy See (Vatican City State),VAT,0,0,,,
Saint Vincent and the Grenadines,VCT,0.7,0.7,0.330692756,1.116768473,1.116768473
Venezuela,VEN,378.7,310.7,237.0414669,0.597610768,0.310741129
Vietnam,VNM,781.6,524.2,463.7133541,0.685524027,0.130439733
Vanuatu,VUT,0.7,0.7,0.676181249,0.035225394,0.035225394
Samoa,WSM,0.7,0.3,0.642545695,0.089416683,-0.533107136
Yemen,YEM,55.4,55.4,28.85994966,0.919615268,0.919615268
South Africa,ZAF,430.7,385,552.0482798,-0.219814614,-0.302597229
Zambia,ZMB,72.5,51,96.54026288,-0.249017997,-0.471723005
Zimbabwe,ZWE,75.4,44.7,113.3137216,-0.334590737,-0.605519973
Austria,AUT,29.5594,29.5594,76.97265622,-0.615975316,-0.615975316
Belgium,BEL,42.55423,42.55423,115.6721225,-0.632113347,-0.632113347
Bulgaria,BGR,19.9071,19.9071,52.58253794,-0.62141234,-0.62141234
Croatia,HRV,14.49753,14.49753,25.43496193,-0.43001566,-0.43001566
Cyprus,CYP,2.84512,2.84512,8.612908415,-0.669667914,-0.669667914
Czechia,CZE,45.62544,45.62544,118.2476574,-0.61415354,-0.61415354
Denmark,DNK,20.0395,20.0395,41.8742243,-0.521435911,-0.521435911
Estonia,EST,4.12452,4.12452,16.0162456,-0.742478974,-0.742478974
Finland,FIN,16.9725,16.9725,54.34646983,-0.687698206,-0.687698206
France,FRA,209.06918,209.06918,401.5863671,-0.47939174,-0.47939174
Germany,DEU,238.9005,238.9005,747.026787,-0.680198215,-0.680198215
Greece,GRC,48.35192,48.35192,72.28334882,-0.331078031,-0.331078031
Hungary,HUN,39.04676,39.04676,68.68104393,-0.4314769,-0.4314769
Ireland,IRL,27.29712,27.29712,62.90556836,-0.566061945,-0.566061945
Italy,ITA,188.31787,188.31787,375.4961854,-0.498482602,-0.498482602
Latvia,LVA,7.0882,7.0882,12.18851404,-0.418452489,-0.418452489
Lithuania,LTU,10.46908,10.46908,24.44979882,-0.571813246,-0.571813246
Luxembourg,LUX,5.073,5.073,8.924579112,-0.431569832,-0.431569832
Malta,MLT,0.90396,0.90396,2.060938419,-0.561384274,-0.561384274
Netherlands,NLD,66.46276,66.46276,170.3435908,-0.609831167,-0.609831167
Poland,POL,148.12683,148.12683,375.6243581,-0.605651692,-0.605651692
Portugal,PRT,34.64752,34.64752,58.68252721,-0.409576894,-0.409576894
Romania,ROU,65.88531,65.88531,108.1538459,-0.390818612,-0.390818612
Slovakia,SVK,17.75117,17.75117,41.99619459,-0.577314798,-0.577314798
Slovenia,SVN,8.63882,8.63882,18.02376465,-0.520698358,-0.520698358
Spain,ESP,147.02115,147.02115,283.7112646,-0.481793047,-0.481793047
Sweden,SWE,21.735,21.735,53.70536703,-0.595291845,-0.595291845
